donor,region,roi,other_immune,epithelial,unknown,PP cell,beta cell,macrophage,cd8_t,cd4_t,b_cell,mdsc,fibroblast,alpha cell,endothelial,acinar
HPAP-012,Body of pancreas,ROI1,360.0,252.0,306.0,0.0,0.0,19.0,2.0,1.0,13.0,0.0,0.0,0.0,24.0,0.0
HPAP-012,Body of pancreas,ROI2,395.0,376.0,0.0,443.0,0.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
HPAP-012,Body of pancreas,ROI3,44.0,560.0,0.0,648.0,212.0,21.0,0.0,0.0,1.0,0.0,549.0,0.0,0.0,0.0
HPAP-012,Head of pancreas,ROI1,1065.0,1256.0,1364.0,0.0,0.0,120.0,7.0,6.0,259.0,1.0,833.0,0.0,0.0,0.0
HPAP-012,Head of pancreas,ROI2,0.0,341.0,296.0,0.0,105.0,42.0,318.0,0.0,108.0,0.0,390.0,0.0,0.0,0.0
HPAP-012,Head of pancreas,ROI3,2048.0,1916.0,0.0,0.0,0.0,111.0,13.0,4.0,60.0,0.0,563.0,0.0,0.0,0.0
HPAP-012,Tail of pancreas,ROI1,1393.0,1446.0,0.0,643.0,0.0,71.0,12.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
HPAP-012,Tail of pancreas,ROI2,1015.0,495.0,300.0,0.0,0.0,121.0,9.0,2.0,1.0,0.0,0.0,0.0,70.0,0.0
HPAP-012,Tail of pancreas,ROI3,1454.0,866.0,739.0,0.0,0.0,74.0,7.0,0.0,41.0,0.0,0.0,0.0,105.0,0.0
HPAP-014,Body of pancreas,ROI1,193.0,172.0,0.0,0.0,0.0,30.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0
HPAP-014,Body of pancreas,ROI2,1224.0,1181.0,0.0,0.0,75.0,81.0,26.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
HPAP-014,Body of pancreas,ROI3,150.0,231.0,0.0,0.0,38.0,23.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HPAP-014,Head of pancreas,ROI1,422.0,476.0,0.0,0.0,0.0,29.0,9.0,3.0,2.0,0.0,0.0,0.0,32.0,0.0
HPAP-014,Head of pancreas,ROI2,170.0,247.0,0.0,0.0,0.0,10.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HPAP-014,Head of pancreas,ROI3,533.0,144.0,129.0,0.0,0.0,48.0,14.0,2.0,7.0,0.0,117.0,0.0,0.0,0.0
HPAP-014,Tail of pancreas,ROI1,845.0,599.0,0.0,0.0,0.0,218.0,49.0,1.0,1.0,0.0,0.0,0.0,510.0,0.0
HPAP-014,Tail of pancreas,ROI2,452.0,399.0,325.0,0.0,0.0,72.0,19.0,0.0,6.0,0.0,0.0,0.0,463.0,0.0
HPAP-014,Tail of pancreas,ROI3,121.0,411.0,0.0,0.0,0.0,139.0,80.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0
HPAP-018,Body of pancreas,ROI1,2125.0,284.0,949.0,0.0,68.0,38.0,21.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
HPAP-018,Body of pancreas,ROI2,1587.0,710.0,461.0,0.0,45.0,32.0,28.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
HPAP-018,Body of pancreas,ROI3,0.0,771.0,607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0
HPAP-018,Head of pancreas,ROI1,2929.0,104.0,1048.0,0.0,41.0,42.0,93.0,2.0,19.0,0.0,35.0,0.0,0.0,0.0
HPAP-018,Head of pancreas,ROI2,2210.0,296.0,982.0,0.0,187.0,85.0,86.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0
HPAP-018,Tail of pancreas,ROI4,187.0,1076.0,394.0,0.0,143.0,4.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HPAP-018,Tail of pancreas,ROI5,506.0,438.0,721.0,0.0,133.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPAP-026,Head of pancreas,ROI1,3.0,307.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPAP-026,Head of pancreas,ROI2,131.0,187.0,0.0,0.0,0.0,81.0,10.0,5.0,6.0,0.0,0.0,0.0,106.0,0.0
HPAP-026,Head of pancreas,ROI3,626.0,902.0,370.0,0.0,0.0,394.0,27.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0
HPAP-026,Tail of pancreas,ROI1,71.0,47.0,556.0,0.0,0.0,1530.0,76.0,14.0,3.0,0.0,0.0,0.0,117.0,0.0
